"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"208","1314 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"209","2118 New Mexico St, Savannah, GA 31404","$135,000","3","1","1,007",NA,"59 mins","1948","Has HOA fee: No","0.14 Acres"
"210","1308 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"211","2219 Bartlett Dr, Savannah, GA 31404","$145,000","3","1","1,292",NA,"59 mins","1964","Has HOA fee: No","0.17 Acres"
"212","1317 E 57th St, Savannah, GA 31404","$120,000","2","1","792",NA,"56 mins","1954","Has HOA fee: No","0.12 Acres"
"213","2226 New York Ave, Savannah, GA 31404","$179,900","2","1","1,121",NA,"1 hour 1 min","1935","Has HOA fee: No","0.14 Acres"
"214","256 Cumming St, Savannah, GA 31415","$75,000","2","1","875","23 mins","51 mins","1968","Services included: None","2,790 sqft"
"215","1304 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"216","1303 Stubbs St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"217","1504 E Henry St, Savannah, GA 31404","$151,900","3","3","1,504",NA,"56 mins","2007","Has HOA fee: No","0.02 Acres"
"218","1312 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"219","711 W 46th St, Savannah, GA 31405","$135,000","2","1","851",NA,"52 mins","1950","Has HOA fee: No","0.07 Acres"
"220","1310 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"221","1306 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
