"","address","list_price","bed","bathroom","sq_footage","hunter_mins","stewart_mins","num_acres","HOA_price","price_value","bed_value","bathroom_value","footage_value","hunter_time_value","stewart_time_value","acres_value","HOA_value","value","latitude","longitude","price_category","value_category","value_per_dollar"
"158","2213 E Gwinnett St, Savannah, GA 31404",165000,4,2,1679,NA,NA,0.12,0,0.888888888888889,0.75,0.5,0.82078853046595,NA,NA,0.104166666666667,0.928571428571429,0.707405273937532,32.05634,-81.05691,"med","high",0.00042873046905305
"159","1030 Demmond St, Savannah, GA 31415",165000,3,2,1121,24,52,0.06,0,0.888888888888889,0.5,0.5,0.104384133611691,0.619047619047619,0.671232876712329,0.0925925925925926,0.928571428571429,0.559831347325429,32.08221,-81.1137,"med","med",0.000339291725651775
"160","737 Fairview Cir, Hinesville, GA 31313",231700,4,3,1962,NA,NA,NA,300,0.119904076738609,0.75,0.75,0.911032028469751,NA,NA,NA,0.5,0.70720640569395,31.8025,-81.65242,"high","high",0.00030522503482691
"161","Buildable plan: Addison, Richmond Pass, Midway, GA 31320",NA,4,3,1978,NA,NA,NA,NA,NA,0.75,0.75,0.913494809688581,NA,NA,NA,NA,0.796712802768166,31.79552,-81.41232,NA,"high",NA
"162","630 Lee Blvd, Savannah, GA 31405",185000,3,2,1096,NA,55,0.19,0,0.8,0.5,0.5,0.0992063492063492,NA,NA,0.121951219512195,0.928571428571429,0.509643473058107,32.01654,-81.09901,"med","med",0.000275482958409788
"163","305 Woodley Rd, Savannah, GA 31419",129000,3,1,1323,18,48,0.21,0,0.938271604938272,0.5,0.25,0.180505415162455,0.714285714285714,0.753424657534247,0.128205128205128,0.928571428571429,0.577352615221662,31.97575,-81.13967,"low","high",0.000447560166838498
"164","1510 E Henry St, Savannah, GA 31404",153900,3,3,1504,NA,56,0.02,0,0.910873440285205,0.5,0.75,0.519230769230769,NA,NA,0.0862068965517241,0.928571428571429,0.628216610975232,32.05712,-81.0742,"med","high",0.00040819792785915
"165","519 W 60th St, Savannah, GA 31405",149900,3,1,1035,NA,52,0.12,0,0.916805324459235,0.5,0.25,0.0884955752212389,NA,NA,0.104166666666667,0.928571428571429,0.460624736620312,32.0409,-81.11302,"low","low",0.000307288016424491
"166","2010 E 42nd St, Savannah, GA 31404",135000,3,1,1054,NA,58,0.14,0,0.933333333333333,0.5,0.25,0.0915750915750916,NA,NA,0.108695652173913,0.928571428571429,0.461596374639853,32.04394,-81.0663,"low","low",0.000341923240473965
"167","635 Fairview Cir, Hinesville, GA 31313",225700,3,3,1973,NA,NA,NA,300,0.140056022408964,0.5,0.75,0.912739965095986,NA,NA,NA,0.5,0.632547993019197,31.82976,-81.6251,"high","high",0.000280260519724943
